Fecha,temp_min,temp_max,temp_avg,Year,Month,date,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,temp_min_log,temp_max_log,temp_avg_log,timeIndex
1917-06,6.036666666666666,15.223333333333333,10.629999999999999,1917,6,1917-06-01,0,0,0,0,1,0,0,0,0,0,0,1.7978519832272122,2.722829338528798,2.3636801923538564,101
1917-07,4.629032258064516,12.341935483870968,8.485483870967741,1917,7,1917-07-01,0,0,0,0,0,1,0,0,0,0,0,1.5323478307145295,2.5130028525210064,2.1383569236916697,102
1917-08,3.7806451612903227,14.803225806451612,9.291935483870967,1917,8,1917-08-01,0,0,0,0,0,0,1,0,0,0,0,1.329894672657766,2.6948451169156415,2.2291468716932457,103
1917-09,7.569999999999999,18.376666666666665,12.973333333333333,1917,9,1917-09-01,0,0,0,0,0,0,0,1,0,0,0,2.024193067449357,2.9110817439334826,2.5628959686496944,104
1917-10,9.245161290322581,20.62258064516129,14.933870967741935,1917,10,1917-10-01,0,0,0,0,0,0,0,0,1,0,0,2.2241003109089252,3.026386623287535,2.70363185240891,105
1917-11,12.706666666666667,25.396666666666665,19.051666666666666,1917,11,1917-11-01,0,0,0,0,0,0,0,0,0,1,0,2.5421267901178917,3.2346179318168087,2.947154586809632,106
1917-12,17.612903225806452,29.61935483870968,23.616129032258065,1917,12,1917-12-01,0,0,0,0,0,0,0,0,0,0,1,2.868631771259759,3.3884280273299754,3.1619299121674507,107
1918-01,19.251612903225805,28.741935483870968,23.996774193548386,1918,1,1918-01-01,0,0,0,0,0,0,0,0,0,0,0,2.957594844404405,3.358357222985663,3.1779194127121495,108
1918-02,17.367857142857144,27.59642857142857,22.482142857142858,1918,2,1918-02-01,1,0,0,0,0,0,0,0,0,0,0,2.854621207234536,3.3176863647643344,3.112721343309198,109
1918-03,15.138709677419355,26.567741935483873,20.853225806451615,1918,3,1918-03-01,0,1,0,0,0,0,0,0,0,0,0,2.7172550183152255,3.279697770668488,3.037508651215416,110
1918-04,12.056666666666667,22.9,17.47833333333333,1918,4,1918-04-01,0,0,1,0,0,0,0,0,0,0,0,2.489617757295897,3.131136910560194,2.8609620186182587,111
